done,doi_suffix,Data Processing Text,interpolation_text,Interpolation type,Interpolation time (s),Notes
TRUE,s-2005-865778,,"['l. in total, all participants completed six square-wave transitions of which the total time spent running at 80%vt was 36 min. data analysis – v˙ o2 kinetics breath-by-breath v˙ o2 data were linearly INTERPOLATed to yield v˙ o2 values for every second during the test. the data from each of the six transitions were split, time aligned, and ensemble averaged to produce a single data set that was representativ']",,1,
TRUE,j.1748-1716.2006.01596.x,,FALSE,,,
TRUE,j.rmed.2007.10.020,,FALSE,,,
TRUE,s00421-003-0908-1,"During the tests, oxygen uptake (V  .  O2) was ob- tained every 20 s and V  . O2peak was determined by averaging the two  consecutive highest measures.",FALSE,,,
TRUE,circheartfailure.112.969071,,,,,
TRUE,s00520-019-05094-4,,FALSE,,,
TRUE,978-3-319-55231-6_7,,FALSE,,,
TRUE,iet-cta.2014.0725,,FALSE,,,
TRUE,mss.0000000000001553,"From this 115 data, 15 sec mean values were calculated for the determination of maximal oxygen 116 consumption, highest 30-s average during exercise, and the first ventilator threshold (20).",,,,
TRUE,pes.2020-0040,Beat-by-beat HR and breath-by-breath VO2 and VE data were averaged into 10-second samples.,FALSE,,,
TRUE,s1413-35552012005000129,,FALSE,,,
TRUE,jsc.0b013e3181fb4a33,Expired air was analyzed for fractions of expired oxygen and carbon dioxide (FEO2 and FECO2) every 30 seconds during this exercise test.,FALSE,,,
TRUE,apnm-2016-0478,Oxygen consumption (L min-1) was recorded as 30 s averages over the entire duration of each gas collection period.,FALSE,,,
TRUE,jsc.0000000000001153,,FALSE,,,
TRUE,s12574-012-0150-0,,FALSE,,,
TRUE,jphysiol.2011.213363,,FALSE,,,
TRUE,phy2.13456,Peak VO2 was determined during last 30 sec of ramp exercise,"['z on a computer system, in addition to the ecg, so that beat-by-beat data could be analyzed. finally, secondby-second time courses of antegrade, retrograde, and mean net velocities were calculated by INTERPOLATion of the beatby-beat data. b-mode echo images of the right ba were recorded simultaneously using a hard disk drive video recorder, and the diameter of the vessel was measured with on-screen calipers', 'ed into digital data using an ad conversion device and software (powerlab 8/35, adinstruments, colorado springs, co) at 1 khz. then, second-by-second time courses were calculated for each variable by INTERPOLATing the beat-by-beat or average data. beat-by-beat bv through the right ba to the distal third of the right inactive upper limb as well as vessel diameter were measured using a pulse-echo doppler ultr', 'ere calibrated by introducing a known volume of air at several mean ﬂow rates and gas mixtures of known composition, respectively. the second-by-second time course was calculated for each variable by INTERPOLATion of the breath-by-breath data. beat-to-beat heart rate (hr) and map obtained from the left hand (finometer pro; the middle ﬁnger of calculated from the finapres medical systems, the netherlands). p']",,1,
TRUE,circimaging.110.962571,Peak oxygen consumption (peak VO2) was defined as the highest 30s-average of VO2 at the end of the test.,FALSE,,,
TRUE,hrt.81.2.121,Data over 5 second periods were used for the calculations.,FALSE,,,
TRUE,s004210050636,Breath-by- breath metabolic data were averaged to 15-s intervals.,"['5). this was either the velocity of the last 2-min stage, or the previous 2-min velocity if _v o2 was higher at this stage. if the value of the _v o2 at the two last stages was the same, the vmax was INTERPOLATed as the average of these two velocities (lindsay et al. 1996). the reliability of this protocol has been assessed by billat et al. (1994, 1996). the highest 15-s values of each exercise bout (cid:13']",,,
TRUE,s0100-879x2005000400019,The ventilatory anaerobic threshold was obtained by analyzing the loss of linearity of CO2 production and pulmonary ventilation responses at submaximal power values (as averaged at 15-s intervals) (24).,FALSE,,,
TRUE,s41394-018-0145-9,Gas exchange data were obtained every 15 s using a metabolic,,,,
TRUE,s-0032-1304640,Breath-by-breath  œVO 2   data  was  averaged  over  1 min  periods prior  to  analysis,FALSE,,,
TRUE,apnm-2012-0504,Their values were averaged every 10 s for the incremental test and every 30 s for the test performed within the moderate intensity domain.,FALSE,,,
TRUE,s-0030-1248242,"During the test, heart rate (HR), oxygen consumption (VO 2 ), carbon dioxide production (VCO 2 ), and ventilation (VE) were recorded as averaged values every 5 s by a open-circuit oxygen uptake measurement system (PFT Cosmed, Rome, Italy).",FALSE,,,
TRUE,japplphysiol.01115.2009,V ˙ E and V ˙ O2 were averaged every 15 s.,FALSE,,,
TRUE,00005768-199609000-00013,,FALSE,,,
TRUE,01.mss.0000162617.18250.77,"Pulmonary gas exchange was measured breath by breath as described below and averaged over 10-s intervals. The data were first manually filtered to remove outlying breaths. These were defined as breaths deviating by more than three standard deviations from the preceding five breaths. In performing this filtering, care was taken not to remove breaths that were clearly part of the kinetic trends at the onset of exercise. After this filtering, the breath-by-breath data were interpolated to provide second-by-second values and modeled using a modification of the procedure recently used by Rossiter et al. (25) to analyze heavy exercise data.","['breaths. in performing this filtering, care was taken not to remove breaths that were clearly part of the kinetic trends at the onset of exercise. after this filtering, the breath-by-breath data were INTERPOLATed to provide second-by-second values and modeled using a modification of the procedure recently used by rossiter et al. (25) to analyze heavy exercise data. the first 20 s after the work rate transit']",,1,
TRUE,jsc.0b013e31823b8721,"Oxygen uptake ( _VO2max) was measured breath by breath using a gas analyzer (Quark b 2, Cosmed,  Figure 1. Pictorial view of the experimental design.  VOLUME 26 | NUMBER 8 | AUGUST 2012 | 2097  Copyright © National Strength and Conditioning Association Unauthorized reproduction of this article is prohibited.  Time to Exhaustion: Bioenergetics and Neuromuscular Determinants  the end of  Rome, Italy) and subsequently averaged over 30-second intervals throughout the test.",FALSE,,,
TRUE,j.jsams.2021.07.013,,FALSE,,,
TRUE,ijspp.2016-0035,"Data were collected for 5min during running (at 25–30min, 55–60min, 85–90min, and 115–120min), and these values were averaged every 30 s.","['hanical responses (twp, db10, db100,  and the low- to high-frequency doublet ratio [db10:100])4 to femoralnerve stimulation. the changes in maximal voluntary activation  (%va) were assessed by twitch INTERPOLATion. the amplitude of the  superimposed db100 elicited during mvc was compared with that  of the control db100 in relaxed muscle using the following equation:  %va = [(1 – superimposed db100)/control ']",,,
TRUE,mss.0b013e3181af21e2,Respiratory gas-exchange data was collected breath by breath and averaged for every 15 second period using a portable gas analyser (details in equipment section) which was calibrated beforehand according to the manufacturer’s instructions.,"['al acceleration data were used to detect steps in a manner similar to previous reports for walking (18, 30) and stride frequencies were subsequently calculated using a custom written program.\n\x0cdirect INTERPOLATion from gps speed data was then used to derive average stride lengths based on speed and stride frequency. paragraph 15 metabolic analyzer. participants were fitted with a portable metabolic analyzer', 'eriod while this took place. accordingly, data for that sub-section (all variables) and the following sub-section (hr and vo2 only) have been replaced with estimates through subject-by-subject linear INTERPOLATion from values for the adjacent sections. this correction applied to either one or two of the 96 sub-sections only and allowed a fully balanced statistical analysis to be performed. paragraph 11 part']",,,
TRUE,1477-7525-6-110,,FALSE,,,
TRUE,s-0029-1231044,"The analyzer also recorded expired VO 2 and VCO 2 , on a breath by breath basis; 2 2 however, the data were averaged to 30 s time samples, as 30 s time-sampling is the most commonly reported technique",FALSE,,,
TRUE,apnm-2017-0207,,FALSE,,,
TRUE,s10877-011-9310-4,"Oxygen uptake (VO2) and carbon dioxide production (CO2) were measured using the Oxycon Pro (Viasys Healthcare, Hoechberg, Germany). VO2 and CO2 were averaged over 30 s.",FALSE,,,
TRUE,s19153377,,FALSE,,,
TRUE,japplphysiol.00131.2019,,FALSE,,,
TRUE,fphys.2021.715417,,FALSE,,,
TRUE,jab.2018-0384,"Because a steady state was not achievable in the outdoor course, we averaged the outdoor metabolic data over 5-second Table 1 Tuning Parameters Tunable parameter Parameter range Left and right leg tuning Maximum flexion assistance provided in swing phase 0°–20 N·m Independent Maximum extension assistance provided in swing phase 0°–20 N·m Independent Maximum eccentric control provided during weight bearing 15°–60 N·m Independent Maximum extension assistance provided during weight bearing 15°–60 N·m Independent Knee angle at which flexion assistance ends in swing phase 40°–60° Independent Knee angle at which extension assistance ends in swing phase 20°–40° Independent Rate at which assistance changes 1–10 level Common Correction for persistent torque in free mode Independent Note: The parameters were tuned for each participant. Most parameters could be tuned on the left and right leg independently, whereas one parameter was tuned common to both legs. Figure 2 — Topographical data of outdoor course. The contour lines indicate elevation changes of 1 ft (30.5 cm). The 1.1-km trial is outlined in black. The participants started at the bottom left, went to the end of path, and then followed the loop back around to where they started. JAB Vol. 35, No. 5, 2019 322 MacLean and Ferris Brought to you by UNIVERSITY OF MINNESOTA TWIN CITIES | Unauthenticated | Downloaded 07/27/22 04:44 PM UTC intervals to provide a time series of metabolic cost values. The outdoor metabolic cost data were filtered with a fourth-order, lowpass, Butterworth filter (cutoff frequency of 0.0078 Hz). We determined the cutoff frequency by using residual analysis for all trials, with equal weight on reduced signal distortion and noise, and then found the average value.31",FALSE,,,
TRUE,jsc.0000000000003496,V ˙ E and V ˙ O2 were averaged every 15 s.,FALSE,,,
TRUE,sms.13059,,FALSE,,,
TRUE,j.cardfail.2015.01.003,,FALSE,,,
TRUE,02640414.2019.1664537,"During this test, breath-by-breath pulmonary gas exchange data were collected by using a gas analyzer (AE-310S; Minato Medical Science, Osaka, Japan) and averaged every 10 s.",FALSE,,,
TRUE,02640414.2016.1273539,"The breath-by-breath oxygen uptake (VO_ 2) data were smoothed using a rolling 5-s average and interpolated to provide 1-s values for modelling VO_ 2 response (OriginPro 8.0; Origin Lab Corporation, Microcal, MA, USA).","['ibration syringe (hans-rudolph, shawnee, kans., usa), in accordance with the manufacturer’s instructions. the breath-by-breath oxygen uptake ( _vo2) data were smoothed using a rolling 5-s average and INTERPOLATed to provide 1-s values for modelling _vo2 response (originpro 8.0; origin lab corporation, microcal, ma, usa). to measure blood lactate concentration ([la]), blood samples were drawn from an earlobe']",,1,
TRUE,sms.12526,"For GXT data the LT was defined as power output at [Lac] of 4 mmolL-1, gross mechanical efficiency (GME) was calculated at 160 W (highest work rate below LT achieved by all participants), and VO2max was defined as the highest 15 s VO2.",FALSE,,,
TRUE,s00421-016-3455-2,,FALSE,,,
TRUE,j.1748-1716.2007.01774.x,,FALSE,,,
TRUE,euhj.2000.2425,"This regression analysis was calculated on all breaths, averaged every 10 s, using a moving average  Eur Heart J, Vol. 22, issue 12, June 2001  1054 T. Reybrouck et al.  principle, in order to reduce varibility and the disturbing eﬀect of noise.",FALSE,,,
TRUE,journal.pone.0049953,Peak oxygen uptake (VO2peak) was defined as the highest 30-second average during the test.,FALSE,,,
TRUE,phy2.13601,,FALSE,,,
TRUE,oby.21264,"Peak oxygen uptake in relation to body mass (RVO2peak), was noted as the highest oxygen uptake value, averaged over a 30-s interval, achieved during the test and was chosen as the indicator of CRF.",FALSE,,,
TRUE,s0022-4707.18.07952-5,Data averaging of breath-by-breath data was performed after data collection using 30-second averages,"[' the pattern of o2 response to the incremental exercise test, o2 values were plotted as a function of the corresponding speed to obtain o2-speed relationship for each participant, and these were then INTERPOLATed by least squares linear regression, the slope of which yielded the average rise in o2 (ml\uf0d7min-1 and ml\uf0d7kg-1\uf0d7min-1) between consecutive treadmill speeds for 0.5 and 1.0 km\uf0d7h-1\uf0d7min-1 speed increments']",,,
TRUE,02640414.2016.1267386,"V̇ O2max was determined as the highest V̇ 136 O2 obtained from a 30-s 137 rolling average, which excluded breath-by-breath values outside 4 SD from a local (5-breath) average 138 (Lamarra, Whipp, Ward, & Wasserman, 1987). Breath-by-breath V̇ 183 O2 data were filtered (as described above) and linearly 184 interpolated to produce second-by-second values","['relationship. subsequently, the accumulated oxygen demand was determined as the integral of second-by-second oxygen demand. breath-by-breath v̇ o2 data were filtered (as described above) and linearly INTERPOLATed to produce second-by-second values. the accumulated oxygen uptake was determined as the integral of second-by-second v̇ o2. end-exercise v̇ o2 and oxygen demand were determined in cwr and 3mt as th']",linear,1,
FALSE,20755279.2019.0307,,,,,"Uses Bruce protocol, but no specific mention of gas exchange measuring. Investigate further"
FALSE,bf00695018,"The maximum oxygen intakes of the 80 Caucasians were measured by
the intermittent treadmill technique and for the 45 Bantu, by the step
test procedure. The results of these two procedures have been shown by
this Laboratory to be closely comparable [24].",,,,"No apparent mention of gas collection, inconsistent methodology"
FALSE,jsc.0b013e318256bedc,,,,,
FALSE,journal.pone.0072215,,FALSE,,,
FALSE,jc.2010-2735,,,,,
FALSE,circimaging.120.010567,,,,,
FALSE,bf00618488,,FALSE,,,
TRUE,ajpregu.00182.2018,,,,,
FALSE,hrt.2003.028167,,,,,
FALSE,bf01075985,,,,,
FALSE,02640414.2011.562232,"Since 400-, 800-, and 1500-m performances were different between athletes, cardiorespiratory data obtained as a function of time (5 s central moving average) were averaged over 25-m intervals (400 m, 800 m) or 50-m intervals (1500 m). The highest 5-s value for each distance was taken to be V_ O2peak.",FALSE,,,
FALSE,01.cir.90.6.2877,,FALSE,,,
FALSE,j.numecd.2011.03.002,,,,,
FALSE,journal.pone.0031880,,,,,
FALSE,fphys.2019.00365,,FALSE,,,
FALSE,bf00714996,,,,,
FALSE,hrt.2003.025684,,FALSE,,,
FALSE,bm.2018.030707,,FALSE,,,
FALSE,09031936.04.00142903,,,,,
FALSE,thx.44.9.716,,,,,
FALSE,bjsm.25.4.191,,,,,
FALSE,s00421-010-1709-y,,,,,
FALSE,bjsm.22.3.109,,,,,
FALSE,bjsm.12.4.176,,,,,
FALSE,hrt.71.4.391,,,,,
FALSE,s00464-014-3691-7,,,,,
FALSE,hrt.61.5.421,,,,,
FALSE,japplphysiol.01341.2012,,FALSE,,,
FALSE,jcm10153299,,,,,
FALSE,jc.84.7.2303,,,,,
FALSE,j.resp.2015.11.004,,FALSE,,,
FALSE,bjsm.24.2.99,,,,,
FALSE,s11357-011-9258-9,,,,,
FALSE,02640414.2019.1612505,,FALSE,,,
FALSE,brainsci10080493,,FALSE,,,
FALSE,1550-2783-9-37,,FALSE,,,
FALSE,s00221-019-05646-4,,FALSE,,,
FALSE,ijerph19010099,,FALSE,,,
FALSE,s004210000308,,FALSE,,,
FALSE,ijerph18158135,,"['pinal and/or supraspinal level. we did not investigate the precise localization of these alterations since it would have required a more complex set up. we focused on analyzing va by using the twitch INTERPOLATion technique before and after dr and found a non-signiﬁcant reduction by only ~2%. a similar downhill exercise protocol produced greater and signiﬁcant va changes (−7%) [4]. similarly, when longer tr', 'ic (emg) activities of a representative knee extensor (i.e., the vastus lateralis, vl). 2.3. voluntary activation and muscle contractility we assessed voluntary activation (va) by adapting the twitch INTERPOLATion technique proposed by merton [19]. the procedure consisted of electrical stimulation administered during mvc to active the muscles and immediately after the end of the mvc when the muscles were re']",,,
FALSE,sc.1995.60,,,,,
FALSE,02640414.2019.1568173,,,,,
FALSE,arm.2013.37.5.619,,FALSE,,,
FALSE,bhk-2019-0008,,"['were instructed to adhere to the protocol to the best of their  abilities. a. borror et al. mass (kg). after indexing the variables, the data was  trimmed to match the length of the test and linearly INTERPOLATed using matlab’s interp1 function to ensure  a common time signature. since it is an indirect calculation, vo2 data is inherently noisy [24]. therefore, the vo2  data was smoothed using a cubic smoot']",linear,,
FALSE,sports8040052,,,,,
FALSE,fphys.2020.00629,,,,5,
FALSE,s00421-013-2646-3,,FALSE,,,
FALSE,01.cir.100.13.1406,,FALSE,,,
FALSE,s00421-008-0748-0,,,,,
FALSE,fphys.2018.00415,,"['manufacturer. all respiratory data were averaged every 5 s, and the highest 30 s rolling average during the rampwise part of the test was deﬁned as the ˙vo2max. the v ˙vo2max was deﬁned as the linear INTERPOLATed running speed when the ˙vo2max was reached and vmax as the linear INTERPOLATed running speed at the time point of exhaustion. the v ˙vo2max was used to calculate the interval intensities of the hii']",,,
FALSE,s1807-59322008000200008,,,,,
FALSE,ijerph19084558,,FALSE,,,
FALSE,journal.pone.0184240,,FALSE,,,
FALSE,jappl.1984.57.1.52,,,,,
FALSE,01.atv.19.11.2782,,,,,
FALSE,s150820480,,"[' off again during phase 3. in the meantime, oxygen uptake generally follows the load with some delay. (a) lactate (b) oxygen figure 3. physiological parameters over time for subject 2. the graphs are INTERPOLATed; blood lactate concentration was measured every minute, and oxygen uptake was measured every 10 s. figure 4 presents the spearman correlations between the 36 input variables and the physiological i', ' to remove motion artifacts. the parameters were selected per recommendations set out in other works [23]. the ﬁltered signal is referred to as s(t) in the following text. the physiological data were INTERPOLATed where necessary using hermite cubic splines with catmull–rom tangents [24]. 2.4. segmentation of emg signals to ensure that comparisons are made between the same phases of the pedaling task, the ﬁl', 'ilmore, l.d.; kuznetsov, m.; roy, s.h. filtering the surface emg signal: movement artifact and baseline noise contamination. j. biomech. 2010, 43, 1573–1579. 24. catmull, e.; rom, r. a class of local INTERPOLATing splines. comput. aided geom. des. 1974, 74, 317–326. 25. gabor, d. theory of communication. j. inst. electr. eng. 1946, 93, 429–457. 26. hamming, r.w. digital filters; courier corporation: mineola', 'ar improvement over their linear counterparts, correctly representing all signiﬁcant changes in the trend. (a) lactate (b) oxygen figure 8. an example of out-of-bag predictions (red), compared to the INTERPOLATed ground truth (blue), made by the random forest regression models, built using data from right vastus lateralis of subject 2. 3.3. evaluation of the signiﬁcance of parameters while the accuracy of t', 'he prediction graph reﬂects an increase in the concentration, the structure of this increase is not closely followed. (a) lactate (b) oxygen figure 7. an example of predictions (red), compared to the INTERPOLATed ground truth (blue), made by the linear regression models, built using data from right vastus lateralis of subject 2. 0510152025051015time (min)lactate (mmol/l)r2 = 0.5760510152025012345time (min)o']",cubic,,
FALSE,japplphysiol.00832.2015,,FALSE,,,
FALSE,s12968-017-0322-1,,,,,
FALSE,fphys.2021.722848,,"[' at the same condition were frontiers in physiology | www.frontiersin.org 3 september 2021 | volume 12 | article 722848\n\x0csalzmann et al. vascular occlusion and ˙vo2 kinetics second by second linearly INTERPOLATed, time aligned, averaged. because the number of participants was small (12 subjects) and consequently the distribution of data from the reference samples was non-gaussian, and because it provides re']",linear,1,
FALSE,01.cir.81.5.1550,,,,,
FALSE,16501977-0572,,FALSE,,,
FALSE,npt.0000000000000095,,FALSE,,,
FALSE,j.chest.2020.08.2082,Peak 152 oxygen uptake (V̇O2peak) was defined as the peak value of rolling 30s averages of VO211.,FALSE,,,
FALSE,01.cir.85.5.1713,,FALSE,,,
FALSE,nu10020149,,,,,
FALSE,s004210050272,,FALSE,,,
FALSE,s00421-009-1326-9,,FALSE,,,
FALSE,jrrd.2006.08.0103,,,,,
FALSE,fphys.2017.00640,,FALSE,,,
FALSE,sc.1992.94,,,,,
FALSE,s004210050501,,FALSE,,,
FALSE,a-1023-4280,,FALSE,,,
FALSE,1550-2783-11-16,,FALSE,,,
FALSE,psm.2010.12.1833,,FALSE,,,
FALSE,ajpregu.00012.2017,,FALSE,,,
FALSE,nu12082223,,FALSE,,,
FALSE,s00125-008-1045-5,,FALSE,,,
FALSE,s00421-018-3908-x,,,,,
FALSE,japplphysiol.00033.2016,,FALSE,,,
FALSE,j.bone.2018.06.016,,FALSE,,,
FALSE,s00421-020-04300-0,,FALSE,,,
FALSE,fendo.2020.00578,,,,,
FALSE,s0022-4707.20.10789-8,,,,,
FALSE,japplphysiol.00310.2020,,"['f the squared errors by the standard levenberg-marquardt optimization algorithm. as described in figure 4, by the analysis of the time series response of the error between the fitted function and the INTERPOLATed data, the first 18±5 s of data were excluded to eliminate the influences of the cardio-dynamic phase on 𝜏𝜏  estimation (42). then, the 𝑎𝑎𝑉𝑉̇𝑂𝑂2 data were fitted again into the same function that sh', ' better aerobic  fitness level, and a higher 𝑎𝑎𝑉𝑉̇𝑂𝑂2−𝑝𝑝𝑝𝑝𝑝𝑝𝑝𝑝 during the cpet was associated with a higher maximal aerobic power level. all data were time synchronized, and second-by-second linearly INTERPOLATed by a computer program developed in labview 2014 (national instruments, austin, texas, usa). for the prbs protocol, the data of the two complete sequences of 450 s were ensemble averaged to obtain a', 'tained. please see text for more information about data fitting. figure 5. illustration of the aerobic fitness evaluation based on the analysis of the alveolar oxygen uptake second-by-second linearly INTERPOLATed data (a) of the two consecutives protocols were ensemble averaged (𝑎𝑎𝑉𝑉̇𝑂𝑂2, solid lines) dynamics during a pseudorandom binary sequence exercise protocol (dashed lines). the  to obtain a single re', ' 243  244  245 246 247 248 249 250 251 252 253 254 255 256 257 258 accordingly to previous study (19) to obtain the cross-correlation function at different lags. the peak of second-by-second linearly INTERPOLATed data (a) of the two consecutives protocols were ensemble averaged figure 5. illustration of the aerobic fitness evaluation based on the analysis of the alveolar oxygen uptake protocol amplitude at ']",linear,1,
FALSE,cia.s30048,,FALSE,,,
FALSE,bjsm.2005.019943,,,,,
FALSE,fphys.2017.01003,,FALSE,,,
FALSE,bjsm.2002.002121,,FALSE,,,
FALSE,bp.2012.096,,FALSE,,,
FALSE,hrt.64.5.313,,,,,
FALSE,ijspp.2019-0031,,"[' occasional errant breaths (e.g.  swallows, coughs, sighs), which were not considered as part of  the underlying physiological response to exercise. to remove  these artifacts, raw data were linearly INTERPOLATed to obtain one that would compromize drop jump performance. the responses  from interval drop-jumping were then compared to the  responses obtained during high-intensity interval running of  similar']",linear,1,
FALSE,s-2007-1024977,,,,,
FALSE,mss.0b013e3182860099,,FALSE,,,
FALSE,s00421-021-04677-6,,"[' mo). hr was measured continuously during vo2peak  test and ile trials via wireless hr monitor worn around the  chest (wahoo fitness, atlanta, ga). furthermore, breathby-breath vo2 and hr values were INTERPOLATed to 1\xa0s intervals and displayed against the accumulated exercise time and  expressed as % vo2peak and % hrmax. vastus lateralis de‑oxygenation de-oxygenation levels in vastus lateralis were continuo']",,1,
FALSE,bf00392039,,FALSE,,,
FALSE,mss.0000000000002530,,FALSE,,,
FALSE,fpsyg.2021.698622,,"['ere performed with the k4 b2 device (cosmed srl, rome, italy), with all calibrations and other procedures recommended by the manufacturer. the respiratory variables were smoothed every ﬁve points and INTERPOLATed every second to reduce the artifacts (özyener et al., 2001). estimatedvo2 was calculated by hr-vo2 for each player in conttest, obtaining a linear regression equation (y = ax + b), and considering ']",,1,
FALSE,chest.111.3.590,,FALSE,,,
FALSE,jsc.0000000000003268,,,,,
FALSE,j.jesf.2012.10.003,,FALSE,,,
FALSE,01.mss.0000074495.34243.b5,,,,,
FALSE,journal.pone.0137567,,FALSE,,,
FALSE,ijsnem.2017-0250,,,,,
FALSE,s00421-006-0359-6,,,,,
FALSE,chest.111.6.1571,,FALSE,,,
FALSE,s-0035-1554695,,FALSE,,,
FALSE,s12970-015-0105-8,,FALSE,,,
FALSE,jsc.0000000000000784,,FALSE,,,
FALSE,sms.12793,,FALSE,,,
FALSE,mss.0000000000002095,,FALSE,,,
FALSE,s0066-782x2010005000078,,,,,
FALSE,01.cir.89.6.2605,,FALSE,,,
FALSE,s00421-021-04743-z,,FALSE,,,
FALSE,1755-8794-5-29,,FALSE,,,
FALSE,j.humov.2017.08.004,,,,,
FALSE,j.jsams.2009.05.007,,FALSE,,,
FALSE,s13102-020-00172-1,,FALSE,,,
FALSE,ijsnem.2016-0021,,,,,
FALSE,jsc.0000000000000527,,FALSE,,,
FALSE,ijspp.2016-0435,,"['r and ˙vo2 max were recorded as the highest values obtained for the last 30-second period before exhaustion. the maximal po was determined as the highest power output maintained for a complete stage, INTERPOLATed in the presence of incomplete stages.14 finally, the ventilatory (vt) and respiratory compensation (rct) thresholds were identiﬁed separately by 2 researchers according to the criteria of davis.15 ']",,,
FALSE,bf00378538,,,,,
FALSE,00005768-199607000-00013,,,,,
FALSE,0196-9781_._85_._90150-0,,,,,
FALSE,00005768-200011000-00018,,,,,
FALSE,00005768-200206000-00004,,,,,
FALSE,journal.pone.0068091,,,,,
FALSE,s00221-018-5364-6,,"['ot was analysed for peak torque. superimposed  twitch torque in response to both mns and tms were calculated by subtracting twitch onset torque from peak twitch  torque. vamns was calculated with the INTERPOLATed twitch  technique using the formula: [1 − (superimposed twitch  torque/qtw,pot) × 100]. for the determination of vatms, the  resting twitch was estimated (ert) from the y-intercept of  the linear r']",,,
FALSE,fpsyg.2017.01344,,,,,
FALSE,bjsm.33.6.393,,FALSE,,,
FALSE,j.1365-2796.2005.01452.x,,"['r importance [1]. supporting the hypothesis of a ‘central fatigue’ in cfs patients, some physiological studies testing peripheral (stimulated muscle contraction, m-wave recording) and central (twitch INTERPOLATion technique, maximal voluntary contraction) components of muscle fatigue have suggested the absence of any failure of the peripheral force production [3–5]. by contrast, other studies focusing on th']",,,
FALSE,s-0033-1354386,,"['th, and 10 th min postexercise to determine bla concentration (biosen s-line, ekf  diagnostic sales, magdeburg, germany; enzymatic-amperometric method). maximal running velocity (v max ) was linearly INTERPOLATed if the last stage of the treadmill test was not completed.  maximal hr (hr max ) and maximal bla concentration (bla max )  were determined as the highest value during or post-exercise,  respectivel', 'ol · l − 1 [ 18 ]. the iat st was  determined using diﬀ erent software speciﬁ cally programmed  for this threshold concept (ergometrie h. heck, ruhr university  bochum) with a3 rd order polynomial to INTERPOLATe the bla  curve. the iat st was determined as the intercept of the bla curve  and a tangent from the post-exercise curve, where bla equals  the value at the end of exercise [ 19 ]. all thresholds wer', ' obla were determined using computer  software speciﬁ cally developed to assess these thresholds  (ergonizer, version 3.2.1, kai röcker, freiburg, germany). it used  an equalizing spline procedure to INTERPOLATe the bla curve. the  lt was determined as the minimum lactate equivalent which is  the lowest ratio of bla to performance [ 5 ]. the iat di was located  at a bla concentration 1.5 mmol · l − 1 above ']",,,
FALSE,internalmedicine.39.15,,,,,
FALSE,0167-5273_._95_._02308-j,,FALSE,,,
FALSE,bf00376445,,"['mputerized on-line breath-by- breath method as described above.\n breath-by-breath data were stored on a diskette for further analysis.\n a second-by-second time course was calculated for these data by INTERPOLATion between the breath-by-breath response.\n the group average 1202 time course for each group of subjects was plotted with the use of a mini- computer (pc-9801ra, nec, tokyo, japan).\n a single-exponen']",,1,
FALSE,s-2003-41181,,,,,
FALSE,s-2007-1025032,,,,,
FALSE,ijerph18137002,,FALSE,,,
FALSE,mat.0000000000000569,,,,,
FALSE,jc.2004-0067,,,,,
FALSE,chest.117.3.629,,,,,
FALSE,jsc.0b013e318207ead8,,,,,
FALSE,journal.pone.0071623,,,,,
FALSE,s00421-021-04768-4,,FALSE,,,
FALSE,09537104.2015.1047334,,,,,
FALSE,s-2007-1021153,,FALSE,,,
FALSE,s1050-6411_._97_._84626-3,,FALSE,,,
FALSE,japplphysiol.00090.2019,,FALSE,,,
FALSE,mss.0000000000002273,,FALSE,,,
FALSE,1414-431x20187837,,FALSE,,,
FALSE,j.metabol.2014.10.022,,,,,
FALSE,j.ijcard.2004.12.046,,FALSE,,,
TRUE,s-2005-837507,,"['and) were used for heart rate measurements during the graded exercises tests and training sessions, respectively. exercise work and heart rates used during training sessions were determined by linear INTERPOLATion of the work and heart rate versus v˙ o2 curves, respectively. lactate concentrations were measured enzymatically in hemolyzed blood with a l. a. 640 kontron lactate analyzer (roche bio-electronics']",,,
FALSE,j.gaitpost.2007.01.006,,FALSE,,,
TRUE,mss.0b013e3181593e02,,FALSE,,,
FALSE,s00421-004-1230-2,,FALSE,,,
FALSE,jsc.0b013e318241e155,"After ensuring that all the subjects had met the required criteria for attainment of _V O2max (20), _VO2 for each of the submaximal stages (and for _V O2max) was established via a rolling 30-second average, after eliminating values that were outside 4 SDs of the midpoint of a rolling 20-breath mean (attributed to ‘‘noise’’) (28).",FALSE,,,
FALSE,mss.0b013e318237fb5f,,FALSE,,,
TRUE,fphys.2020.607302,,"['tions from the local mean caused by coughing, swallowing, sighing, etc.) (rossiter et al., 2002) (cid:1), carbon dioxide output (cid:0)˙vco2 pulmonary ventilation (cid:0)˙ve (cid:1), and subsequently INTERPOLATed every 1s (özyener et al., 2001) using the software originpro 8.0. the ˙vo2, heart rate (hr), and respiratory exhange ratio (rer) were calculated for ﬁve timewindows during exercise (i.e., 20, 40, 6', 'coughing, swallowing, and sighing, etc., and those values lying more than four standard deviations from the local mean were removed (rossiter et al., 2002). the breath-bybreath data were subsequently INTERPOLATed every 1s (özyener et al., 2001) using the software originpro 8.0 (origin lab corporation, massachusetts, united states). oxygen uptake (cid:1) was determined as the average of the ﬁnal 30 s of each']",,1,
TRUE,jsc.0000000000002781,,FALSE,,,
TRUE,phy2.13673,,FALSE,,,
