Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Armstrong, L.E., Hubbard, R.W., DeLuca, P., Christensen, E.L.","7101900428; 7202298773; 56738500400; 7202966566","Heat acclimatization during summer running in the northeastern united states",1987,"Medicine and Science in Sports and Exercise",19,"2",,131,136,,19,10.1249/00005768-198704000-00011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023092020&partnerID=40&md5=6720087210f46ac5254d9f95ef5173c6",Article,Final,"",Scopus,2-s2.0-0023092020
"Reybrouck, T., Weymans, M., Vinckx, J., Stijns, H., Vanderschueren-Lodeweyckx, M.","7006017796; 6603142242; 17636917900; 6602865494; 7006632609","Cardiorespiratory function during exercise in obese children",1987,"Acta Paediatrica Scandinavica",76,"2",,342,348,,42,10.1111/j.1651-2227.1987.tb10472.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023090858&partnerID=40&md5=2dcf2436857b00dc2241e1958340446a",Article,Final,"",Scopus,2-s2.0-0023090858
"Steinacker, J.M., Röcker, K.","57204495459; 6602697889","Transcutaneous monitoring of PO2 and PCO2 during running--a noninvasive determination of gas transport.",1987,"Advances in experimental medicine and biology",220,"",,61,66,,1,10.1007/978-1-4613-1927-6_10,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023083299&partnerID=40&md5=4f3d83f2329d171bc75ab99c65567077",Article,Final,"",Scopus,2-s2.0-0023083299
"Shibuya, I., Uchida, K., Mochizuki, M.","55206899900; 7404385007; 7403050665","Experimental Analyses of Pulmonary Gas Exchange in a Standing Position at Rest and during Treadmill Exercise",1987,"The Japanese Journal of Physiology",37,"2",,303,320,,3,10.2170/jjphysiol.37.303,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023081105&partnerID=40&md5=fdb709cae2d7d33fb81bd16f07411701",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-0023081105
"Bödeker, B.G., Hübner, G.E., Hewlett, G., Schlumberger, H.D.","6602190925; 7102966860; 6603968816; 36905017000","Production of human monoclonal antibodies from immobilized cells in the Opticell culture system.",1987,"Developments in Biological Standardization",66,"",,473,479,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023080711&partnerID=40&md5=9d93f39bdbf3f8eaca3da704cc26ebec",Article,Final,"",Scopus,2-s2.0-0023080711
"Pitetti, K.H., Snell, P.G., Stray-Gundersen, J.","7004903120; 7003701410; 7004325121","Maximal response of wheelchair-confined subjects to four types of arm exercise",1987,"Archives of Physical Medicine and Rehabilitation",68,"1",,10,13,,21,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023074561&partnerID=40&md5=6766d0c911ff8b007384a9ceb7c513a1",Article,Final,"",Scopus,2-s2.0-0023074561
"Negus, R.A., Rippe, J.M., Freedson, P., Michaels, J.","6603024054; 7004026151; 7006551085; 36935829700","Heart rate, blood pressure, and oxygen consumption during orthopaedic rehabilitation exercise",1987,"Journal of Orthopaedic and Sports Physical Therapy",8,"7",,346,350,,10,10.2519/jospt.1987.8.7.346,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023073504&partnerID=40&md5=e8fcb845d640fc04ada2fb3ffc407f85",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-0023073504
"Drǎgan, G.I., Vasiliu, A., Georgescu, E., Dumas, I.","7003293463; 6603366179; 7006300248; 6506031372","Studies concerning chronic and acute effects of L-carnitine on some biological parameters in elite athletes.",1987,"Physiologie",24,"1",,23,28,,20,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023062887&partnerID=40&md5=ad850ce326fd7a3627aaf4dd05f19129",Article,Final,"",Scopus,2-s2.0-0023062887
"Painter, P., Hanson, P., Messer-Rehak, D., Zimmerman, S.W., Glass, N.R.","7103043906; 7202060693; 6506699331; 7202234927; 7004452587","Exercise Tolerance Changes Following Renal Transplantation",1987,"American Journal of Kidney Diseases",10,"6",,452,456,,53,10.1016/S0272-6386(87)80192-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0007711170&partnerID=40&md5=1224590a480d366a7e2f42e42ad26fd6",Article,Final,"",Scopus,2-s2.0-0007711170
"Ruddel, H., Berg, K., Todd, G.L., McKinney, M.E., Buell, J.C., Eliot, R.S.","7005333472; 7401939252; 35854300200; 7102573647; 7006642195; 7005855370","Cardiovascular reactivity and blood chemical changes during exercise",1986,"Journal of Sports Medicine and Physical Fitness",26,"1",,43,51,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022547913&partnerID=40&md5=fc28373a314a80257c2db48a63c5f5f5",Article,Final,"",Scopus,2-s2.0-0022547913
"Huttunen, N.-P., Knip, M., Paavilainen, T.","7003904529; 7103007058; 16500752700","Physical activity and fitness in obese children",1986,"International Journal of Obesity",10,"6",,519,525,,65,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023038063&partnerID=40&md5=35add8c7b6bdf1face0d0d67c5c95c54",Article,Final,"",Scopus,2-s2.0-0023038063
"Cisar, C.J., Thorland, W.G., Johnson, G.O., Housh, T.J.","6701821191; 6701815227; 7405718593; 7006756988","The effect of endurance training on metabolic responses and the prediction of distance running performance",1986,"Journal of Sports Medicine and Physical Fitness",26,"3",,234,240,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023033031&partnerID=40&md5=1f91a11cad51ae8f7af7e7cecec3a02f",Article,Final,"",Scopus,2-s2.0-0023033031
"Loftin, M., Zingraf, S., Warren, B., Jones, C.J., Brandon, J.E., Harsha, D.","6603760836; 6507468774; 57198094385; 7408259991; 35853294100; 7003474540","Influence of physiological function and perceptual effort on 1.5 miles performance in college women",1986,"Journal of Sports Medicine and Physical Fitness",26,"3",,214,218,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023032261&partnerID=40&md5=dd950c1fed023c08f747cb62d4ac0800",Article,Final,"",Scopus,2-s2.0-0023032261
"Karvonen, J., Peltola, E., Saarela, J.","57522435100; 57190416568; 7004368496","The effect of sprint training performed in a hypoxic environment on specific performance capacity",1986,"Journal of Sports Medicine and Physical Fitness",26,"3",,219,224,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023029188&partnerID=40&md5=f36cc3d448326338d80f8b3dabd25c09",Article,Final,"",Scopus,2-s2.0-0023029188
"Mangum, M., Gatch, W., Cocke, T.B., Brooks, E.","6701749400; 56561865100; 6701580703; 9732793400","The effects of beer consumption on the physiological responses to submaximal exercise",1986,"Journal of Sports Medicine and Physical Fitness",26,"3",,301,305,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023024719&partnerID=40&md5=04924566ae740996c2d8828865ac432b",Article,Final,"",Scopus,2-s2.0-0023024719
"De Meersman, R., Schaefer, D., Martelli, M.","7004416392; 7101927016; 7102723749","The effects of a sympathomimetic drug on maximal aerobic capacity",1986,"Journal of Sports Medicine and Physical Fitness",26,"3",,251,257,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023002124&partnerID=40&md5=1f4acaa30e319e128d11f21d621ebafc",Article,Final,"",Scopus,2-s2.0-0023002124
"Ribeiro, J.P., Yang, J., Adams, R.P., Kuca, B., Knutten, H.G.","7201677874; 15039021700; 57198472328; 6603211650; 6504551654","Effect of different incremental exercise protocols on the determination of lactate and ventilatory thresholds.",1986,"Brazilian Journal of Medical and Biological Research",19,"1",,109,117,,24,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022989430&partnerID=40&md5=092708bafe6347df74dc7e09e84d731c",Article,Final,"",Scopus,2-s2.0-0022989430
"Wells, J.A., Smyth, R.J., Rebuck, A.S.","57194865814; 57197561000; 7006937842","Thoracoabdominal motion in response to treadmill and cycle exercise",1986,"American Review of Respiratory Disease",134,"6",,1125,1128,,10,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022980675&partnerID=40&md5=1a2576e7725d5891781f82bdd4377a52",Article,Final,"",Scopus,2-s2.0-0022980675
"Spurr, G.B., Reina, J.C.","7006586006; 7102938135","Marginal malnutrition in school-aged Colombian boys: Body size and energy costs of walking and light load carrying",1986,"Human Nutrition: Clinical Nutrition",40,"6",,409,419,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022980535&partnerID=40&md5=2c0659a4bc7a033fbb72adefbf1028ea",Article,Final,"",Scopus,2-s2.0-0022980535
"Blomstrand, E., Ekblom, B., Newsholme, E.A.","7004913779; 36962325900; 7101902499","Maximum activities of key glycolytic and oxidative enzymes in human muscle from differently trained individuals.",1986,"The Journal of Physiology",381,"1",,111,118,,40,10.1113/jphysiol.1986.sp016316,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022924454&partnerID=40&md5=d149af3a071cbed736466197de7fec29",Article,Final,"All Open Access, Green",Scopus,2-s2.0-0022924454
"Bale, P.","7004449237","A review of the physique and performance qualities characteristic of games players in specific positions on the field of play",1986,"Journal of Sports Medicine and Physical Fitness",26,"2",,109,122,,8,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022919519&partnerID=40&md5=a73ad9dcbbfcfa8f4ebd32b4ae4a3334",Article,Final,"",Scopus,2-s2.0-0022919519
"Krebs, P.S., Zinkgraf, S., Virgilio, S.J.","7006511784; 6603519049; 56422111500","Predicting competitive bicycling performance with training and physiological variables",1986,"Journal of Sports Medicine and Physical Fitness",26,"4",,323,330,,15,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022896937&partnerID=40&md5=c14bfe9208b9c4d5cceeffe47a2ef211",Article,Final,"",Scopus,2-s2.0-0022896937
"Bond, V., Balkissoon, B., Franks, B.D., Brwnlow, R., Caprarola, M., Bartley, D., Banks, M.","7005411856; 6602261609; 7004072740; 55528160500; 6507381956; 7006633475; 7102259803","Effects of sleep deprivation on performance during submaximal and maximal exercise",1986,"Journal of Sports Medicine and Physical Fitness",26,"2",,169,174,,26,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022877438&partnerID=40&md5=b6037b29f5bc0385ad9fa265ac41530a",Article,Final,"",Scopus,2-s2.0-0022877438
"Murray, S.J., Shephard, R.J., Radomski, M.W.M.","56703721700; 7202263739; 21135704300","Physiological changes in women during exercise in cold environments",1986,"International Journal of Biometeorology",30,"4",,301,306,,4,10.1007/BF02189365,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022868217&partnerID=40&md5=8e3bfb9068341904d1d97a9dd99c7f7b",Article,Final,"",Scopus,2-s2.0-0022868217
"Maloiy, G.M.O., Heglund, N.C., Prager, L.M., Cavagna, G.A., Taylor, C.R.","7003847805; 7003754961; 36720052400; 7004713491; 57203644113","Energetic cost of carrying loads: Have African women discovered an economic way?",1986,"Nature",319,"6055",,668,669,,158,10.1038/319668a0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022589959&partnerID=40&md5=5cd14b099ba455db9315b1b458f4da21",Article,Final,"",Scopus,2-s2.0-0022589959
"Fülöp Jr., T., Jacob, M.P., Varga, Z., Foris, G., Leovey, A., Robert, L.","7102873505; 7202261807; 7102990208; 7003357145; 16514152200; 55413997100","Effect of elastin peptides on human monocytes: Ca2+ mobilization, stimulation of respiratory burst and enzyme secretion",1986,"Biochemical and Biophysical Research Communications",141,"1",,92,98,,94,10.1016/S0006-291X(86)80339-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022883411&partnerID=40&md5=59f8be37556cfb22d1ba303050010a04",Article,Final,"",Scopus,2-s2.0-0022883411
"Tanaka, H., Shindo, M., Gutkowska, J., Kinoshita, A., Urata, H., Ikeda, M., Arakawa, K.","55628563140; 7201912896; 7102423953; 7102694898; 55237766300; 7404692243; 57215087418","Effect of acute exercise on plasma immunoreactive - atrial natriuretic factor",1986,"Life Sciences",39,"18",,1685,1693,,98,10.1016/0024-3205(86)90166-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022527045&partnerID=40&md5=fd5df8cbca56fb2591ef2f955024c235",Article,Final,"",Scopus,2-s2.0-0022527045
"Thorstensson, A.","7005114148","Effects of moderate external loading on the aerobic demand of submaximal running in men and 10 year-old boys",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"6",,569,574,,35,10.1007/BF00423198,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022916198&partnerID=40&md5=d11f334ebcebcc5947981a1c38a1f86f",Article,Final,"",Scopus,2-s2.0-0022916198
"Gleeson, M., Maughan, R.J., Greenhaff, P.L.","55523790700; 35829587300; 7006604087","Comparison of the effects of pre-exercise feeding of glucose, glycerol and placebo on endurance and fuel homeostasis in man",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"6",,645,653,,107,10.1007/BF00423211,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022897890&partnerID=40&md5=0a8e1cd4882e6dcb87cd53445e9d486f",Article,Final,"",Scopus,2-s2.0-0022897890
"Juhani, I., Pekka, S., Timo, A.","6506024135; 6504694157; 6507892596","Strain while skiing and hauling a sledge or carrying a backpack",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"6",,597,603,,9,10.1007/BF00423203,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022897889&partnerID=40&md5=731d06323e5a9b55feb65628764ef054",Article,Final,"",Scopus,2-s2.0-0022897889
"Baum, K., E\feld, D., Stegemann, J.","7005823396; 16419823100; 7005024895","The influence of furosemide on heart rate and oxygen uptake in exercising man",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"6",,619,623,,4,10.1007/BF00423206,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022881367&partnerID=40&md5=74d62a80318f71be46ae07b51d96f7c1",Article,Final,"",Scopus,2-s2.0-0022881367
"Verstappen, F., Van Putten, M., Bloemen, L., Reuvers, J.","7004194911; 7005599786; 55807129500; 57210051734","Self-Contained Respirators: Effects of Negative and Positive Pressure-Demand Types on Physical Exercise",1986,"American Industrial Hygiene Association Journal",47,"10",,635,640,,4,10.1080/15298668691390368,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022976670&partnerID=40&md5=1d5d0b64b076c3173a3675d346730332",Article,Final,"",Scopus,2-s2.0-0022976670
"Scheidt, S., LeWinter, M.M., Hermanovich, J., Venkataraman, K., Freedman, D.","7004296090; 7005509260; 6602809805; 7006057255; 7201528680","Efficacy and safety of nicardipine for chronic, stable angina pectoris: A multicenter randomized trial",1986,"The American Journal of Cardiology",58,"9",,715,721,,22,10.1016/0002-9149(86)90343-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022895241&partnerID=40&md5=5ae383eed4fd6568e9aff0014464da64",Article,Final,"",Scopus,2-s2.0-0022895241
"Hossack, K.F., Eldridge, J.E., Buckner, K.","7006695840; 24425167500; 57194059996","Comparison of acute hemodynamic effects of nitroglycerin versus diltiazem and combined acute effects of both drugs in angina pectoris",1986,"The American Journal of Cardiology",58,"9",,722,726,,9,10.1016/0002-9149(86)90344-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022881377&partnerID=40&md5=6196cdd0dc44a238b6380ebd50db2648",Article,Final,"",Scopus,2-s2.0-0022881377
"Wilson, J.R., Fink, L.I., Ferraro, N., Dunkman, W.B., Jones, R.A.","57203179725; 7102470138; 7003646877; 6701733703; 56164455500","Use of maximal bicycle exercise testing with respiratory gas analysis to assess exercise performance in patients with congestive heart failure secondary to coronary artery disease or to idiopathic dilated cardiomyopathy",1986,"The American Journal of Cardiology",58,"7",,601,606,,40,10.1016/0002-9149(86)90283-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022540052&partnerID=40&md5=50da1b2501f4187bae5310c82b3d4e27",Article,Final,"",Scopus,2-s2.0-0022540052
"Farrell, P.A., Mikines, K.J., Bach, F.W., Sonne, B., Galbo, H.","7201756086; 7004887058; 7202286447; 7004186905; 7004999683","Plasma beta endorphin immunoreactivity: Effects of sustained hyperglycemia with and without prior exercise",1986,"Life Sciences",39,"11",,965,971,,3,10.1016/0024-3205(86)90284-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022504687&partnerID=40&md5=26a5a37abfe34d9c54458c743213c04e",Article,Final,"",Scopus,2-s2.0-0022504687
"Issing, K., Fuhr, E.","6506025362; 6507912913","Thermoregulation and thermal perception in the cold and heat before and after intermittent heat adaptation",1986,"International Journal of Biometeorology",30,"3",,249,257,,,10.1007/BF02189469,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022776333&partnerID=40&md5=88eea4c36730be8c6aa6e96e862621bf",Article,Final,"",Scopus,2-s2.0-0022776333
"Paterson, D.J., Wood, G.A., Morton, A.R., Henstridge, J.D.","57190105375; 7401950928; 7202436291; 6506168948","The entrainment of ventilation frequency to exercise rhythm",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"5",,530,537,,52,10.1007/BF00421649,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022543513&partnerID=40&md5=8221f15e51609def0a9c79f36c441c35",Article,Final,"",Scopus,2-s2.0-0022543513
"Petri, H., Arends, B.G., van Baak, M.A.","57198278338; 36729467000; 57510110700","The effect of verapamil on cardiovascular and metabolic responses to exercise",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"5",,499,502,,11,10.1007/BF00421644,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022524577&partnerID=40&md5=a1e5f2da7d1ddbad598fa8cec90f5333",Article,Final,"",Scopus,2-s2.0-0022524577
"Fukunaga, T., Matsuo, A., Yamamoto, K., Asami, T.","7201992196; 7101768706; 56130438800; 24785778100","Mechanical efficiency in rowing",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"5",,471,475,,31,10.1007/BF00421639,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022468603&partnerID=40&md5=d4fb56c20847876805fa128505e6132a",Article,Final,"",Scopus,2-s2.0-0022468603
"van Mechelen, W., Hlobil, H., Kemper, H.C.G.","7007021844; 6701595671; 7007038917","Validation of two running tests as estimates of maximal aerobic power in children",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"5",,503,506,,178,10.1007/BF00421645,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022451489&partnerID=40&md5=b78d7f2d0af0adf2227c3d0b75e637dc",Article,Final,"",Scopus,2-s2.0-0022451489
"Nelson, L., Esler, M., Jennings, G., Korner, P.","7402251254; 57226203890; 57202672904; 7101724652","EFFECT OF CHANGING LEVELS OF PHYSICAL ACTIVITY ON BLOOD-PRESSURE AND HAEMODYNAMICS IN ESSENTIAL HYPERTENSION",1986,"The Lancet",328,"8505",,473,476,,247,10.1016/S0140-6736(86)90354-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022473434&partnerID=40&md5=b985be1a8bbe6ee19088ed78384049dd",Article,Final,"",Scopus,2-s2.0-0022473434
"Macconnie, S.E., Barkan, A., Lampman, R.M., Schork, M.A., Beitins, I.Z.","6507803651; 7101807992; 7006741827; 7005879206; 7005137206","Decreased Hypothalamic Gonadotropin-Releasing Hormone Secretion in Male Marathon Runners",1986,"New England Journal of Medicine",315,"7",,411,417,,186,10.1056/NEJM198608143150702,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022448173&partnerID=40&md5=f1d4fe24cd4450ecf0bc74b898d78784",Article,Final,"",Scopus,2-s2.0-0022448173
"Paragh, G., Nagy, J.T., Szondy, E., Fóris, G., Leövey, A.","7003269524; 56408410100; 6701515348; 7003357145; 16514152200","Immunomodulating effect of low density lipoprotein on human monocytes",1986,"Clinical and Experimental Immunology",64,"3",,665,672,,11,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022609006&partnerID=40&md5=f21b626e59364832f753446c4a12435d",Article,Final,"",Scopus,2-s2.0-0022609006
"Goldfarb, A.H., Vaccaro, P., Buckenmeyer, P.J., Dummer, G.M., VanderVelden, L.","7101785993; 7102831363; 6602618579; 6603343967; 6504791811","Age-associated blood glucose levels during exercise in female swimmers",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"4",,431,435,,1,10.1007/BF00422746,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022921483&partnerID=40&md5=6ecd255b6ac91cc47259e2bdddc31d9f",Article,Final,"",Scopus,2-s2.0-0022921483
"Rogers, G., Goodman, C., Mitchell, D., Hattingh, J.","7202950280; 7202269354; 7403871418; 7007150510","The response of runners to arduous triathlon competition",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"4",,405,409,,24,10.1007/BF00422741,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022912502&partnerID=40&md5=fe4cb56f140acf7e3f706e567f5980f3",Article,Final,"",Scopus,2-s2.0-0022912502
"Karper, W.B., Evans, B.W.","6603853892; 57199313330","Cycling program effects on one rheumatoid arthritic",1986,"American Journal of Physical Medicine",65,"4",,167,172,,7,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022765023&partnerID=40&md5=cf1b85c5776a3093c5bee93cb83b6d1d",Article,Final,"",Scopus,2-s2.0-0022765023
"Balogun, J.A.","7003629337","Ergonomic comparison of three modes of load carriage",1986,"International Archives of Occupational and Environmental Health",58,"1",,35,46,,17,10.1007/BF00378538,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022647096&partnerID=40&md5=005771e7be70b3d9905347784916d8ad",Article,Final,"",Scopus,2-s2.0-0022647096
"Steinacker, J.M., Marx, T.R., Marx, U., Lormes, W.","57204495459; 57197395710; 57197453094; 6602759356","Oxygen consumption and metabolic strain in rowing ergometer exercise",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"3",,240,247,,27,10.1007/BF02343794,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022542401&partnerID=40&md5=4bc11b46964657680f8e9aaae6131151",Article,Final,"",Scopus,2-s2.0-0022542401
"Wells, R., Morrissey, M., Hughson, R.","7402059002; 7103054566; 7103343686","Internal work and physiological responses during concentric and eccentric cycle ergometry",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"3",,295,301,,62,10.1007/BF02343802,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022539688&partnerID=40&md5=6ab8c82463a9e69c3a4fbfa4456de7ac",Article,Final,"",Scopus,2-s2.0-0022539688
"VanHelder, W.P., Casey, K., Goode, R.C., Radomski, W.M.","6602799071; 57194230058; 7103088271; 6507870029","Growth hormone regulation in two types of aerobic exercise of equal oxygen uptake",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"3",,236,239,,30,10.1007/BF02343793,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022534218&partnerID=40&md5=5efe00399e3cd2cf0fd0a788c54fb022",Article,Final,"",Scopus,2-s2.0-0022534218
"di Prampero, P.E., Atchou, G., Brückner, J.-C., Moia, C.","7006119206; 6603321137; 7101986624; 6603171331","The energetics of endurance running",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"3",,259,266,,267,10.1007/BF02343797,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022517174&partnerID=40&md5=4dfe256ad615ac1c556ba581ee07c2e8",Article,Final,"",Scopus,2-s2.0-0022517174
"Tanaka, K., Watanabe, H., Konishi, Y., Mitsuzono, R., Sumida, S., Tanaka, S., Fukuda, T., Nakadomo, F.","55602172500; 55738404400; 7402425510; 6507529523; 7005196339; 7405552446; 36043258600; 6701647474","Longitudinal associations between anaerobic threshold and distance running performance",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"3",,248,252,,44,10.1007/BF02343795,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022508348&partnerID=40&md5=632c8a686cf016f79c37eca3dcc79a15",Article,Final,"",Scopus,2-s2.0-0022508348
"Lehmann, M., Keul, J.","7202114735; 7102012332","Age-associated changes of exercise-induced plasma catecholamine responses",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"3",,302,306,,28,10.1007/BF02343803,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022497066&partnerID=40&md5=f07ee9faa374c0635d0c59366382717e",Article,Final,"",Scopus,2-s2.0-0022497066
"Rybak, M.E., Badstubner, B., Griffin, T.","7101737039; 6505472093; 57197667427","The effects of bisantrene on human platelets",1986,"Investigational New Drugs",4,"2",,119,125,,,10.1007/BF00194590,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022477551&partnerID=40&md5=1f5017cb9cd4aca382947231f6ae6576",Article,Final,"",Scopus,2-s2.0-0022477551
"Buono, M.J., Yeager, J.E.","7003679756; 7005667356","Intraerythrocyte and plasma lactate concentrations during exercise in humans",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"3",,326,329,,41,10.1007/BF02343807,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022468505&partnerID=40&md5=4a884adb38d4dc4987d545c67688c520",Article,Final,"",Scopus,2-s2.0-0022468505
"Eldridge, J.E., Ramsey-Green, C.L., Hossack, K.F.","24425167500; 6504557089; 7006695840","Effects of the limiting symptom on the achievement of maximal oxygen consumption in patients with coronary artery disease",1986,"The American Journal of Cardiology",57,"8",,513,517,,11,10.1016/0002-9149(86)90826-X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022534738&partnerID=40&md5=881967a3216b668064eff2697a92b654",Article,Final,"",Scopus,2-s2.0-0022534738
"Eldridge, J.E., Giansiracusa, R.F., Jones, R.H., Hossack, K.F.","24425167500; 6506515816; 34769540500; 7006695840","Computerized detection of the lactate threshold in coronary artery disease",1986,"The American Journal of Cardiology",57,"13",,1088,1091,,5,10.1016/0002-9149(86)90679-X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022538290&partnerID=40&md5=236e2acd7cf8f7403780b182a7a5a38d",Article,Final,"",Scopus,2-s2.0-0022538290
"Raju, P.S., Kumar, K.A., Reddy, S.S., Madhavi, S., Gnanakumari, K., Bhaskaracharyulu, C., Reddy, M.V., Annapurna, N., Reddy, M.E., Girijakumari, D.","7101688898; 56408888400; 55857506900; 6603576320; 6504121528; 6505647612; 57190867013; 57041845300; 7402242468; 6504674515","Effect of yoga on exercise tolerance in normal healthy volunteers.",1986,"Indian Journal of Physiology and Pharmacology",30,"2",,121,132,,24,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022704984&partnerID=40&md5=5a12d4b16c73d2ba9c220e0db2d75ec9",Article,Final,"",Scopus,2-s2.0-0022704984
"Bates, G.T.H., Hamilton, E.J., Stewart, D.E., Bates, R.H.T.","57206029072; 7101815421; 7403642932; 57196918984","DIGITAL FILTERING AIDS DATA PROCESSING FOR EXERCISE TEST PROTOCOLS FOR HAEMODYNAMICALLY COMPROMISED SUBJECTS.",1986,"Australasian Physical and Engineering Sciences in Medicine",9,"2",,67,76,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022699758&partnerID=40&md5=d19488842c44ea597d5b5c3ad99fb997",Article,Final,"",Scopus,2-s2.0-0022699758
"Kumano, K., Miyashita, H., Tanaka, T., Shimode, M., Mori, Y., Mikami, H.","7006187849; 57205787158; 57206763930; 57205091846; 57206590478; 57206420678","Energy expenditure during exercise on a treadmill before and after surgical correction of spinal deformities.",1986,"Nippon Seikeigeka Gakkai zasshi",60,"4",,439,448,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022692614&partnerID=40&md5=a188674eb3818b01cae4ea51a3417bb1",Article,Final,"",Scopus,2-s2.0-0022692614
"Collins, M.A., Hill, D.W., Cureton, K.J., DeMello, J.J.","7404084105; 14619363500; 57216005315; 6602100454","Plasma volume change during heavy-resistance weight lifting",1986,"European Journal of Applied Physiology and Occupational Physiology",55,"1",,44,48,,42,10.1007/BF00422891,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0022654837&partnerID=40&md5=63de804b2b68b9b26bda6457d7e4d87f",Article,Final,"",Scopus,2-s2.0-0022654837
